step,sat0_reward,sat1_reward,sat2_reward,sat3_reward,sat4_reward,sat5_reward,sat6_reward,sat7_reward,sat8_reward,sat9_reward
182,-0.1000,0.0068,-0.1000,0.9000,0.4206,-0.1000,-0.1000,-0.1000,-0.1000,0.4801
183,-0.1000,0.0206,-0.1000,0.9000,0.4728,-0.1000,-0.1000,-0.1000,-0.1000,0.5894
184,-0.1000,0.0349,-0.1000,0.9000,0.5270,-0.1000,-0.1000,-0.1000,-0.1000,0.9000
185,-0.1000,0.0497,-0.1000,0.6991,0.5831,-0.1000,-0.1000,-0.1000,-0.1000,0.9000
186,-0.1000,0.0652,-0.1000,0.6807,0.5411,-0.1000,-0.1000,-0.1000,-0.1000,0.6748
187,0.5829,0.0812,-0.1000,0.9000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,0.5604
188,0.9000,0.0977,-0.1000,0.9000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,0.4448
189,0.9000,0.1149,-0.1000,0.9000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,0.3282
190,0.5794,0.1326,-0.1000,0.9000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,0.2642
191,0.4299,0.1510,-0.1000,0.7391,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,0.2168
192,0.2915,0.1700,-0.1000,0.5757,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,0.1690
193,0.2307,0.1896,-0.1000,0.5127,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,0.1209
194,0.1696,0.2098,-0.1000,0.4500,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,0.0725
195,0.1083,0.2307,-0.1000,0.3877,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,0.0237
196,0.0468,0.2522,-0.1000,0.3257,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.0252
197,-0.0150,0.2744,-0.1000,0.2856,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.0744
198,-0.0769,0.2972,-0.1000,0.2611,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
199,-0.1000,0.3520,-0.1000,0.2367,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
200,-0.1000,0.4125,-0.1000,0.2124,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
201,-0.1000,0.4749,-0.1000,0.1882,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
202,-0.1000,0.5390,-0.1000,0.1641,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
203,-0.1000,0.6050,-0.1000,0.1401,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
204,-0.1000,0.6728,-0.1000,0.1166,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
205,-0.1000,0.9000,-0.1000,0.0934,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
206,-0.1000,0.9000,-0.1000,0.0706,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
207,-0.1000,0.9000,-0.1000,0.0483,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
208,-0.1000,0.6449,-0.1000,0.0263,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
209,-0.1000,0.5715,-0.1000,0.0047,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
