step,sat0_reward,sat1_reward,sat2_reward,sat3_reward,sat4_reward,sat5_reward,sat6_reward,sat7_reward,sat8_reward,sat9_reward
116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.1101
117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.1808
118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.2520
119,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0956,0.3236
120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0765,0.3956
121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0578,0.5950
122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0395,0.7770
123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0218,1.1500
124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0046,1.1500
125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0120,0.7721
126,0.0000,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0282,0.5870
127,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0438,0.3905
128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0588,0.3161
129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0732,0.2414
130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0871,0.1665
131,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1004,0.0916
132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1130,0.0500
133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1251,0.0500
134,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1365,0.0500
135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1473,0.0500
136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1575,0.0500
137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1670,0.0500
138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1759,0.0500
139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1841,0.0500
140,0.0000,0.0000,0.0000,0.0000,0.0196,0.0000,0.0000,0.0000,0.1917,0.0500
141,0.0000,0.0000,0.0000,0.0000,0.0507,0.0000,0.0000,0.0000,0.1986,0.0500
142,0.0000,0.0000,0.0000,0.0000,0.0815,0.0000,0.0000,0.0000,0.2048,0.0500
143,0.0000,0.0000,0.0000,0.0000,0.1117,0.0000,0.0000,0.0000,0.2104,0.3444
144,0.0000,0.0000,0.0000,0.0000,0.1414,0.0000,0.0000,0.0000,-0.1000,0.2758
145,0.0000,0.0000,0.0000,0.0000,0.1707,0.0000,0.0000,0.0000,-0.1000,0.2068
146,0.0000,0.0000,0.0000,0.0000,0.1993,0.0000,0.0000,0.0000,-0.1000,0.1375
147,-10.0000,-10.0000,0.0000,0.0000,0.2274,-10.0000,0.0000,0.0000,-0.1000,0.0681
148,-0.1000,-0.1000,-10.0000,0.0000,0.2549,-0.1000,-9.9927,0.0000,-0.1000,0.0500
149,-0.1000,-0.1000,-0.1000,-10.0000,0.2818,-0.1000,-0.0749,-10.0000,-0.1000,0.0500
150,-0.1000,-0.1000,-0.1000,-0.1000,-9.6919,-0.1000,-0.0572,-0.1000,-0.1000,0.0500
151,-0.1000,-0.1000,-0.1000,-0.1000,0.2338,-0.1000,-0.0396,-0.1000,-0.1000,0.0500
152,-0.1000,-0.1000,-0.1000,-0.1000,0.2588,-0.1000,-0.0221,-0.1000,-0.1000,0.0500
153,-0.1000,-0.1000,-0.0751,-0.1000,0.2831,-0.1000,-0.0048,-0.1000,-0.1000,0.0500
154,-0.1000,-0.1000,-0.0630,-0.1000,0.4169,-0.1000,0.0125,-0.1000,-0.1000,0.0500
155,-0.1000,-0.1000,-0.0570,-0.1000,0.4742,-0.1000,0.0296,-0.1000,-0.1000,0.0500
156,-0.1000,-0.1000,-0.0513,-0.1000,-0.1000,-0.1000,0.0466,-0.1000,-0.0578,0.0500
157,-0.1000,-0.1000,-0.0458,-0.1000,-0.1000,-0.1000,0.0634,-0.1000,0.0081,0.0500
158,-0.1000,-0.1000,-0.0405,0.4937,-0.1000,-0.1000,0.0801,-0.1000,0.0731,0.0500
159,-0.1000,-0.1000,-0.0354,0.4832,-0.1000,-0.1000,0.0967,-0.1000,0.1373,0.0500
