step,sat1_reward,sat2_reward,sat1_cumulative_reward,sat2_cumulative_reward
318,-14.2835,0.2108,147.2315,162.1928
319,0.1115,0.2615,147.3430,162.4543
320,0.2966,0.3206,147.6396,162.7749
321,0.3707,0.3647,148.0103,163.1396
322,0.3920,0.3860,148.4023,163.5256
323,0.4133,0.4073,148.8155,163.9329
324,0.4345,0.4285,149.2501,164.3615
325,0.4558,0.4498,149.7059,164.8113
326,0.4771,0.4711,150.1830,165.2824
327,0.4984,0.4924,150.6814,165.7747
328,0.6395,0.6395,151.3209,166.4143
329,0.6927,0.6927,152.0137,167.1070
330,0.7459,0.7459,152.7596,167.8529
331,0.7991,0.7991,153.5587,168.6521
332,0.8523,0.8523,154.4110,169.5044
333,0.9055,0.9055,155.3165,170.4098
334,0.9587,0.9587,156.2752,171.3685
335,0.9887,0.9887,157.2639,172.3573
336,1.1910,1.1910,158.4549,173.5482
337,1.1910,1.1910,159.6458,174.7392
338,1.0241,1.0541,160.6699,175.7933
339,0.8530,1.0090,161.5229,176.8023
340,-13.7165,0.7839,147.8064,177.5862
341,0.5824,0.7384,148.3888,178.3246
342,0.6629,0.6929,149.0517,179.0175
343,0.6474,0.6474,149.6992,179.6649
344,0.6019,0.6019,150.3011,180.2668
345,0.5265,0.5565,150.8276,180.8233
346,0.3550,0.5110,151.1826,181.3343
347,0.4655,0.4655,151.6481,181.7998
348,0.4200,0.4200,152.0681,182.2198
349,0.2952,0.2952,152.3633,182.5151
350,0.2771,0.2771,152.6404,182.7921
351,0.2589,0.2589,152.8992,183.0510
352,0.2407,0.2407,153.1399,183.2916
353,0.2040,0.1980,153.3439,183.4896
354,0.1827,0.1767,153.5266,183.6663
355,0.1614,0.1554,153.6880,183.8217
356,0.1402,0.1402,153.8282,183.9619
357,0.1189,0.1129,153.9470,184.0748
358,0.0976,0.0916,154.0446,184.1664
359,0.0763,0.0703,154.1210,184.2367
360,0.0201,0.0201,154.1411,184.2568
