step,sat1_reward,sat2_reward,sat1_cumulative_reward,sat2_cumulative_reward
341,-0.0013,-0.0013,17.3861,17.8681
342,-0.0013,-0.0013,17.3848,17.8668
343,-0.0013,-0.0013,17.3836,17.8656
344,-0.0013,-0.0013,17.3823,17.8643
345,-0.0013,-0.0013,17.3810,17.8630
346,-0.0057,-0.0057,17.3753,17.8573
347,-0.0057,-0.0057,17.3696,17.8516
348,-0.0061,-0.0001,17.3635,17.8515
349,-0.0001,-0.0001,17.3634,17.8514
350,-0.0001,-0.0001,17.3633,17.8513
351,-0.0001,-0.0001,17.3632,17.8512
352,-0.0001,-0.0001,17.3631,17.8511
353,-0.0001,-0.0001,17.3630,17.8510
354,-0.0001,-0.0001,17.3629,17.8509
355,-0.0001,-0.0001,17.3629,17.8509
356,-0.0001,-0.0001,17.3628,17.8508
357,-0.0001,-0.0001,17.3627,17.8507
358,-0.0001,-0.0001,17.3626,17.8506
359,-0.0001,-0.0001,17.3625,17.8505
360,-0.0001,-0.0001,17.3624,17.8504
